Country,Year,Gender,State/ Ut Name ,Type Of Employment Indicators ,"Employment Indicator Value (UOM:Ratio), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2013",Person,Maharashtra,Labour force participation rate (LFPR),504.0
India,"Calendar Year (Jan - Dec), 2013",Person,Maharashtra,Proportion Unemployed (PU),4.0
India,"Calendar Year (Jan - Dec), 2013",Person,Maharashtra,Worker population ratio (WPR),501.0
India,"Calendar Year (Jan - Dec), 2013",Person,Manipur,Labour force participation rate (LFPR),410.0
India,"Calendar Year (Jan - Dec), 2013",Person,Manipur,Proportion Unemployed (PU),10.0
India,"Calendar Year (Jan - Dec), 2013",Person,Manipur,Worker population ratio (WPR),400.0
India,"Calendar Year (Jan - Dec), 2013",Person,Meghalaya,Labour force participation rate (LFPR),467.0
India,"Calendar Year (Jan - Dec), 2013",Person,Meghalaya,Proportion Unemployed (PU),5.0
India,"Calendar Year (Jan - Dec), 2013",Person,Meghalaya,Worker population ratio (WPR),462.0
India,"Calendar Year (Jan - Dec), 2013",Person,Mizoram,Labour force participation rate (LFPR),470.0
India,"Calendar Year (Jan - Dec), 2013",Person,Mizoram,Proportion Unemployed (PU),9.0
India,"Calendar Year (Jan - Dec), 2013",Person,Mizoram,Worker population ratio (WPR),461.0
India,"Calendar Year (Jan - Dec), 2013",Person,Nagaland,Labour force participation rate (LFPR),432.0
India,"Calendar Year (Jan - Dec), 2013",Person,Nagaland,Proportion Unemployed (PU),47.0
India,"Calendar Year (Jan - Dec), 2013",Person,Nagaland,Worker population ratio (WPR),385.0
India,"Calendar Year (Jan - Dec), 2013",Person,Odisha,Labour force participation rate (LFPR),511.0
India,"Calendar Year (Jan - Dec), 2013",Person,Odisha,Proportion Unemployed (PU),7.0
India,"Calendar Year (Jan - Dec), 2013",Person,Odisha,Worker population ratio (WPR),504.0
India,"Calendar Year (Jan - Dec), 2013",Person,Puducherry,Labour force participation rate (LFPR),
India,"Calendar Year (Jan - Dec), 2013",Person,Puducherry,Proportion Unemployed (PU),
India,"Calendar Year (Jan - Dec), 2013",Person,Puducherry,Worker population ratio (WPR),
India,"Calendar Year (Jan - Dec), 2013",Person,Punjab,Labour force participation rate (LFPR),292.0
India,"Calendar Year (Jan - Dec), 2013",Person,Punjab,Proportion Unemployed (PU),8.0
India,"Calendar Year (Jan - Dec), 2013",Person,Punjab,Worker population ratio (WPR),283.0
India,"Calendar Year (Jan - Dec), 2013",Person,Rajasthan,Labour force participation rate (LFPR),457.0
India,"Calendar Year (Jan - Dec), 2013",Person,Rajasthan,Proportion Unemployed (PU),3.0
India,"Calendar Year (Jan - Dec), 2013",Person,Rajasthan,Worker population ratio (WPR),454.0
India,"Calendar Year (Jan - Dec), 2013",Person,Sikkim,Labour force participation rate (LFPR),489.0
India,"Calendar Year (Jan - Dec), 2013",Person,Sikkim,Proportion Unemployed (PU),22.0
India,"Calendar Year (Jan - Dec), 2013",Person,Sikkim,Worker population ratio (WPR),467.0
India,"Calendar Year (Jan - Dec), 2013",Person,Tamil Nadu,Labour force participation rate (LFPR),501.0
India,"Calendar Year (Jan - Dec), 2013",Person,Tamil Nadu,Proportion Unemployed (PU),2.0
India,"Calendar Year (Jan - Dec), 2013",Person,Tamil Nadu,Worker population ratio (WPR),499.0
India,"Calendar Year (Jan - Dec), 2013",Person,Tripura,Labour force participation rate (LFPR),409.0
India,"Calendar Year (Jan - Dec), 2013",Person,Tripura,Proportion Unemployed (PU),38.0
India,"Calendar Year (Jan - Dec), 2013",Person,Tripura,Worker population ratio (WPR),372.0
India,"Calendar Year (Jan - Dec), 2013",Person,Uttar Pradesh,Labour force participation rate (LFPR),414.0
India,"Calendar Year (Jan - Dec), 2013",Person,Uttar Pradesh,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Person,Uttar Pradesh,Worker population ratio (WPR),414.0
India,"Calendar Year (Jan - Dec), 2013",Person,Uttarakhand,Labour force participation rate (LFPR),486.0
India,"Calendar Year (Jan - Dec), 2013",Person,Uttarakhand,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Person,Uttarakhand,Worker population ratio (WPR),486.0
India,"Calendar Year (Jan - Dec), 2013",Person,West Bengal,Labour force participation rate (LFPR),410.0
India,"Calendar Year (Jan - Dec), 2013",Person,West Bengal,Proportion Unemployed (PU),11.0
India,"Calendar Year (Jan - Dec), 2013",Person,West Bengal,Worker population ratio (WPR),399.0
