Country,State,District,Year,"Percentage Of Literacy Rate Of Persons  (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Literacy Rate Of Male (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Literacy Rate Of Female (UOM:%(Percentage)), Scaling Factor:1"
India,Uttar Pradesh,Bulandshahr,"Calendar Year (Jan - Dec), 2011",37.4,44.4,27.8
India,Uttar Pradesh,Farrukhabad,"Calendar Year (Jan - Dec), 2011",42.3,50.0,32.9
India,Uttar Pradesh,Hamirpur,"Calendar Year (Jan - Dec), 2011",29.3,38.8,18.3
India,Uttar Pradesh,Kanpur Dehat,"Calendar Year (Jan - Dec), 2011",50.5,65.2,34.9
India,Uttar Pradesh,Kaushambi,"Calendar Year (Jan - Dec), 2011",9.8,15.7,2.7
India,Uttar Pradesh,Lalitpur,"Calendar Year (Jan - Dec), 2011",30.6,38.8,21.9
India,Uttar Pradesh,Mahoba,"Calendar Year (Jan - Dec), 2011",24.5,33.8,12.9
India,Uttar Pradesh,Mathura,"Calendar Year (Jan - Dec), 2011",37.7,43.1,31.1
India,Uttar Pradesh,Rae Bareli,"Calendar Year (Jan - Dec), 2011",44.3,53.9,34.7
India,Uttar Pradesh,Shrawasti,"Calendar Year (Jan - Dec), 2011",43.1,53.4,32.2
India,Uttar Pradesh,Sonbhadra,"Calendar Year (Jan - Dec), 2011",44.2,56.2,31.4
India,Uttar Pradesh,Unnao,"Calendar Year (Jan - Dec), 2011",37.3,46.2,26.9
