Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,Assam,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),55.4
India,Assam,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),87.4
India,Assam,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),18.6
India,Assam,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),36.8
India,Assam,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),74.9
India,Assam,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),97.2
India,Assam,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),47
India,Assam,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),85.9
India,Assam,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),12.6
India,Assam,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),29.4
India,Assam,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),72
India,Assam,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),96.8
India,Assam,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),51.2
India,Assam,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),86.7
India,Assam,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),15.5
India,Assam,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),33.1
India,Assam,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),73.5
India,Bihar,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),145.4
India,Bihar,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),40.7
India,Bihar,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),124.4
India,Bihar,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),33.3
India,Bihar,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),37.2
India,Bihar,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),110.5
India,Bihar,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),108.4
India,Bihar,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),26.5
India,Bihar,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),92.3
India,Bihar,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),19.3
India,Bihar,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),23.1
India,Bihar,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),81.2
India,Bihar,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),127.7
India,Bihar,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),33.9
India,Bihar,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),109
India,Bihar,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),26.6
India,Bihar,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),30.5
India,Bihar,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),96.5
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),
