Country,Year,State Name,Additional Info,"Literacy Rate Of Total Population (UOM:%(Percentage)), Scaling Factor:1","Literacy Rate Of Scheduled Tribes (UOM:%(Percentage)), Scaling Factor:1","Gap In Literacy Rate (UOM:%(Percentage)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 1991",Andhra Pradesh,,44.1,17.2,26.9
India,"Calendar Year (Jan - Dec), 1991",Arunachal Pradesh,,41.6,34.4,7.2
India,"Calendar Year (Jan - Dec), 1991",Assam,,52.9,49.2,3.7
India,"Calendar Year (Jan - Dec), 1991",Bihar,,37.5,18.9,18.6
India,"Calendar Year (Jan - Dec), 1991",Chandigarh, No notified ST,77.8,,
India,"Calendar Year (Jan - Dec), 1991",Chhattisgarh,,42.9,26.7,16.2
India,"Calendar Year (Jan - Dec), 1991","Dadra & Nagar 
Haveli",,40.7,28.2,12.5
India,"Calendar Year (Jan - Dec), 1991",Daman & Diu,,71.2,52.9,18.3
India,"Calendar Year (Jan - Dec), 1991",Delhi, No notified ST,75.3,,
India,"Calendar Year (Jan - Dec), 1991",Goa,,75.5,42.9,32.6
India,"Calendar Year (Jan - Dec), 1991",Gujarat,,61.3,36.4,24.9
India,"Calendar Year (Jan - Dec), 1991",Haryana , No notified ST,55.8,,
India,"Calendar Year (Jan - Dec), 1991",Himachal Pr.,,63.9,47.1,16.8
India,"Calendar Year (Jan - Dec), 1991",INDIA,,52.2,29.6,22.6
India,"Calendar Year (Jan - Dec), 1991",Jammu & Kashmir,,,,
India,"Calendar Year (Jan - Dec), 1991",Jharkhand,,41.4,27.5,13.9
India,"Calendar Year (Jan - Dec), 1991",Karnataka,,56.0,36.0,20.0
India,"Calendar Year (Jan - Dec), 1991",Kerala,,89.8,57.2,32.6
India,"Calendar Year (Jan - Dec), 1991",Lakshadweep,,81.8,80.6,1.2
India,"Calendar Year (Jan - Dec), 1991",Madhya Pradesh,,44.7,18.4,26.3
India,"Calendar Year (Jan - Dec), 1991",Maharashtra,,64.9,36.8,28.1
India,"Calendar Year (Jan - Dec), 1991",Manipur,,59.9,53.6,6.3
India,"Calendar Year (Jan - Dec), 1991",Meghalaya,,49.1,46.7,2.4
India,"Calendar Year (Jan - Dec), 1991",Mizoram,,82.3,82.7,0.4
India,"Calendar Year (Jan - Dec), 1991",Nagaland,,61.6,60.6,1.0
India,"Calendar Year (Jan - Dec), 1991",Orissa,,49.1,22.3,26.8
India,"Calendar Year (Jan - Dec), 1991",Puducherry , No notified ST,74.7,,
India,"Calendar Year (Jan - Dec), 1991",Punjab , No notified ST,58.8,,
India,"Calendar Year (Jan - Dec), 1991",Rajasthan,,38.6,19.4,19.2
India,"Calendar Year (Jan - Dec), 1991",Sikkim,,56.9,59.0,2.1
India,"Calendar Year (Jan - Dec), 1991",Tamil Nadu,,62.7,27.9,34.8
India,"Calendar Year (Jan - Dec), 1991",Tripura,,60.4,40.4,20.0
India,"Calendar Year (Jan - Dec), 1991",Uttar Pradesh,,40.7,20.0,20.7
India,"Calendar Year (Jan - Dec), 1991",Uttarakhand,,57.8,41.2,16.6
India,"Calendar Year (Jan - Dec), 1991",West Bengal,,57.7,27.8,29.9
