sample,x,y,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
high_st_states,villages_gt50_per_100k_st_pop,mgnreg_sought_not_received_per_1000,18,0.5025,0.0335,0.5418,0.0202,0.5025
high_st_states,villages_gt75_per_100k_st_pop,mgnreg_sought_not_received_per_1000,18,0.4503,0.0608,0.6182,0.0063,0.4503
high_st_states,villages_all_st_per_100k_st_pop,mgnreg_sought_not_received_per_1000,18,0.4232,0.0801,0.5975,0.0088,0.4232
high_st_states,villages_gt50_per_100k_st_pop,st_bpl_mean_pct,8,0.4109,0.3119,0.4762,0.2329,0.4109
high_st_states,villages_gt90_per_100k_st_pop,mgnreg_sought_not_received_per_1000,18,0.3997,0.1003,0.5831,0.0111,0.3997
high_st_states,villages_gt90_per_100k_st_pop,literacy_gap_pct,17,-0.386,0.1259,-0.2385,0.3566,0.386
high_st_states,villages_gt75_per_100k_st_pop,st_bpl_mean_pct,8,0.3482,0.398,0.3333,0.4198,0.3482
high_st_states,villages_gt75_per_100k_st_pop,literacy_gap_pct,17,-0.3416,0.1796,-0.1955,0.4522,0.3416
high_st_states,villages_all_st_per_100k_st_pop,st_bpl_mean_pct,8,0.3185,0.4419,0.3333,0.4198,0.3185
high_st_states,villages_all_st_per_100k_st_pop,literacy_gap_pct,17,-0.3094,0.2269,-0.2127,0.4125,0.3094
high_st_states,villages_gt50_per_100k_st_pop,employment_pu_person_per_1000,17,-0.3062,0.2319,-0.2529,0.3274,0.3062
high_st_states,villages_gt75_per_100k_st_pop,employment_pu_person_per_1000,17,-0.276,0.2836,-0.1854,0.4762,0.276
high_st_states,villages_gt50_per_100k_st_pop,literacy_gap_pct,17,-0.2754,0.2847,-0.1377,0.5982,0.2754
high_st_states,villages_gt90_per_100k_st_pop,employment_pu_person_per_1000,17,-0.2643,0.3053,-0.1645,0.5281,0.2643
high_st_states,villages_all_st_per_100k_st_pop,employment_pu_person_per_1000,17,-0.2411,0.3512,-0.2063,0.427,0.2411
high_st_states,villages_gt90_per_100k_st_pop,st_bpl_mean_pct,8,0.2272,0.5885,0.1905,0.6514,0.2272
high_st_states,villages_gt90_per_100k_st_pop,employment_wpr_person_per_1000,17,-0.2131,0.4116,-0.0711,0.7862,0.2131
high_st_states,villages_all_st_per_100k_st_pop,employment_wpr_person_per_1000,17,-0.2103,0.4179,-0.0441,0.8664,0.2103
high_st_states,villages_gt75_per_100k_st_pop,employment_wpr_person_per_1000,17,-0.2078,0.4235,-0.0736,0.779,0.2078
high_st_states,villages_gt50_per_100k_st_pop,st_literacy_rate_pct,17,-0.1993,0.4432,-0.3264,0.2011,0.1993
high_st_states,villages_gt50_per_100k_st_pop,employment_wpr_person_per_1000,17,-0.1757,0.4999,0.0319,0.9033,0.1757
high_st_states,villages_gt50_per_100k_st_pop,dropout_secondary_pct,18,0.1257,0.6192,0.2941,0.2361,0.1257
high_st_states,villages_gt75_per_100k_st_pop,st_literacy_rate_pct,17,-0.1193,0.6483,-0.2638,0.3063,0.1193
high_st_states,villages_all_st_per_100k_st_pop,st_literacy_rate_pct,17,-0.1103,0.6734,-0.254,0.3253,0.1103
high_st_states,villages_gt75_per_100k_st_pop,dropout_secondary_pct,18,0.0656,0.7958,0.3127,0.2065,0.0656
high_st_states,villages_gt90_per_100k_st_pop,st_literacy_rate_pct,17,-0.064,0.8073,-0.227,0.3809,0.064
high_st_states,villages_gt90_per_100k_st_pop,dropout_secondary_pct,18,0.0304,0.9048,0.2797,0.261,0.0304
high_st_states,villages_all_st_per_100k_st_pop,dropout_secondary_pct,18,-0.0195,0.9388,0.29,0.2431,0.0195
