state,year,tribe_name,households,male_population,female_population,sex_ratio,child_sex_ratio,literacy_total_pct,literacy_male_pct,literacy_female_pct,wpr_pct,main_worker_pct,marginal_worker_pct,tribe_population
Tripura,2011,Lepcha,58,86,71,826,800.0,90.6,96.1,84.1,34.4,88.9,11.1,157
Tripura,2011,Lushai,1261,2659,2725,1025,1088.0,97.8,98.1,97.5,51.8,86.2,13.8,5384
Tripura,2011,Mag,9260,19086,18807,985,952.0,72.9,79.9,65.9,42.6,62.6,37.4,37893
Tripura,2011,Munda Kaur,3575,7415,7129,961,996.0,66.7,73.2,59.8,46.3,70.3,29.7,14544
Tripura,2011,Noatia Mu- rashing,3372,7283,7015,963,1019.0,77.4,86.2,68.3,42.2,61.4,38.6,14298
Tripura,2011,Orang,3170,6352,5659,891,1013.0,53.0,59.1,45.8,58.0,71.8,28.2,12011
Tripura,2011,Riang,41036,95325,92895,975,967.0,70.2,79.6,60.6,40.9,63.8,36.2,188220
Tripura,2011,Santal,752,1514,1399,924,982.0,71.0,78.7,62.6,48.5,64.2,35.8,2913
Tripura,2011,Tripura Tri- puri Tippera,138889,298307,293948,985,955.0,81.1,88.3,73.7,43.6,63.9,36.1,592255
Tripura,2011,Uchai,582,1215,1232,1014,858.0,81.1,89.2,73.3,56.2,41.9,58.1,2447
Uttar Pradesh,2011,Agariya (in the district of Sonbhadra),3079,8939,8437,944,953.0,24.6,33.4,15.1,46.2,40.0,60.0,17376
Uttar Pradesh,2011,All Schedule Tribes,200197,581083,553190,952,944.0,55.7,67.1,43.7,37.0,50.6,49.4,1134273
Uttar Pradesh,2011,Baiga (in the district of Sonbhadra),5292,15572,14434,927,944.0,28.5,37.4,18.9,45.1,48.0,52.0,30006
Uttar Pradesh,2011,Bhotia,1199,2764,2432,880,854.0,58.6,66.8,49.4,31.1,66.1,33.9,5196
Uttar Pradesh,2011,Bhuiya Bhuinya (in the district of Sonbhadra),2859,7940,7659,965,1004.0,38.7,50.2,26.7,42.4,33.3,66.7,15599
Uttar Pradesh,2011,Buksa,984,2472,2238,905,953.0,50.6,60.9,39.1,37.5,49.6,50.4,4710
Uttar Pradesh,2011,Chero (in the districts of Sonbhadra and Varanasi),8068,21807,20420,936,936.0,40.9,51.7,29.3,43.8,35.8,64.2,42227
Uttar Pradesh,2011,Gond Dhuria Nayak Ojha Pathari Raj Gond (in the districts of Mehrajganj Sidharth Nagar Basti Gorakhpur Deoria Mau Azamgarh Jon- pur Balia Gazi- pur Varanasi Mirzapur and Sonbhadra),96261,289499,279536,966,938.0,61.2,73.5,48.4,34.3,47.7,52.3,569035
Uttar Pradesh,2011,Jaunsari,986,1939,1781,919,965.0,50.6,60.4,39.8,32.8,61.0,39.0,3720
Uttar Pradesh,2011,Kharwar Khairwar (in the districts of Deoria Balia Ghazipur Varanasi and Sonbhadra),27694,82623,78053,945,942.0,58.5,70.3,46.0,37.4,49.7,50.3,160676
Uttar Pradesh,2011,Pankha Panika (in the districts of Sonbhadra and Mirzapur),4583,12851,12011,935,985.0,55.8,67.8,42.7,40.6,46.1,53.9,24862
Uttar Pradesh,2011,Parahiya (in the district of Sonbhadra),151,456,445,976,920.0,47.2,61.9,32.5,43.8,53.9,46.1,901
Uttar Pradesh,2011,Patari (in the district of Sonbhadra),31,63,69,1095,1182.0,56.5,71.2,42.9,54.5,16.7,83.3,132
Uttar Pradesh,2011,Raji,292,698,597,855,1000.0,35.6,42.1,27.6,41.2,60.7,39.3,1295
Uttar Pradesh,2011,Saharya (in the district of Lalitpur),14154,36307,34327,945,955.0,30.4,38.6,21.7,44.9,63.8,36.2,70634
Uttar Pradesh,2011,Tharu,15367,53687,51604,961,959.0,54.6,66.3,42.5,36.9,65.2,34.8,105291
Uttarakhand,2011,All Schedule Tribes,54102,148669,143234,963,929.0,73.9,83.6,63.9,45.4,68.2,31.8,291903
Uttarakhand,2011,Bhotia,10534,19168,19938,1040,891.0,86.5,94.9,78.6,47.0,71.6,28.4,39106
Uttarakhand,2011,Buksa,10587,27836,26201,941,928.0,64.2,75.9,51.8,39.3,62.1,37.9,54037
Uttarakhand,2011,Jannsari,12645,46020,42644,927,933.0,71.2,80.5,61.2,44.7,76.6,23.4,88664
Uttarakhand,2011,Raji,180,366,324,885,728.0,65.6,79.6,50.6,41.6,73.9,26.1,690
Uttarakhand,2011,Tharu,15842,45884,45458,991,940.0,76.2,86.1,66.2,49.2,62.5,37.5,91342
West Bengal,2011,All Schedule Tribes,1241874,2649974,2646979,999,974.0,57.9,68.2,47.7,47.4,57.9,42.1,5296953
West Bengal,2011,Asur,884,1909,1955,1024,1113.0,45.1,55.2,35.0,43.7,73.0,27.0,3864
West Bengal,2011,Baiga,3190,6765,6658,984,906.0,61.4,72.8,50.0,51.6,51.9,48.1,13423
West Bengal,2011,Bedia Bediya,22587,44989,43783,973,984.0,63.5,72.5,54.2,42.9,61.2,38.8,88772
West Bengal,2011,Bhumij,86752,190087,186209,980,969.0,59.5,70.7,48.1,48.4,49.8,50.2,376296
West Bengal,2011,Bhutia SherpaToto ukpa Kagatay Tibetan Yolmo,16278,33278,33349,1002,936.0,81.1,86.7,75.5,36.7,73.7,26.3,66627
West Bengal,2011,Birhor,891,1176,1065,906,854.0,58.2,69.3,46.1,47.1,63.9,36.1,2241
West Bengal,2011,Birjia,269,573,550,960,976.0,48.4,60.0,36.2,47.6,64.3,35.7,1123
West Bengal,2011,Chakma,211,237,229,966,905.0,76.8,83.8,69.5,39.9,84.4,15.6,466
West Bengal,2011,Chero,2777,2693,2784,1034,1067.0,62.7,73.2,52.5,39.7,75.6,24.4,5477
West Bengal,2011,Chik Baraik,5150,10615,10761,1014,1032.0,62.6,74.0,51.2,43.8,72.4,27.6,21376
West Bengal,2011,Garo,521,997,1042,1045,975.0,77.8,81.8,73.9,41.6,64.5,35.5,2039
West Bengal,2011,Gond,4908,7122,6413,900,909.0,74.8,82.9,65.9,36.8,77.8,22.2,13535
West Bengal,2011,Gorait,537,1255,1243,990,1023.0,32.0,41.2,22.6,49.4,51.2,48.8,2498
West Bengal,2011,Hajang,232,330,291,882,1000.0,74.4,85.3,61.9,36.6,82.8,17.2,621
West Bengal,2011,Ho,5651,11786,11697,992,983.0,54.3,65.2,43.2,51.7,57.4,42.6,23483
West Bengal,2011,Karmali,626,1249,1217,974,944.0,67.9,79.6,55.9,47.3,63.8,36.2,2466
West Bengal,2011,Kharwar,5075,10439,9831,942,963.0,64.5,73.8,54.7,38.8,65.2,34.8,20270
West Bengal,2011,Khond,179,338,322,953,857.0,59.1,67.2,50.7,48.5,85.3,14.7,660
West Bengal,2011,Kisan,23546,50897,47537,934,962.0,53.4,62.4,43.9,41.9,58.8,41.2,98434
West Bengal,2011,Kora,35816,79707,79697,1000,980.0,56.5,68.0,45.1,48.9,54.8,45.2,159404
West Bengal,2011,Korwa,874,1447,1465,1012,921.0,53.9,62.8,45.3,44.1,74.3,25.7,2912
West Bengal,2011,Lepcha,8058,17148,16814,981,911.0,82.4,86.8,77.9,40.0,59.5,40.5,33962
West Bengal,2011,Limbu (Subba),11558,23299,23548,1011,936.0,81.2,87.8,74.7,38.6,64.6,35.4,46847
West Bengal,2011,Lodha Kheria Kharia,26868,54692,54015,988,982.0,45.5,54.6,36.2,49.0,55.2,44.8,108707
West Bengal,2011,Lohara Lohra,6942,12413,12370,997,955.0,55.3,65.4,45.2,42.5,68.5,31.5,24783
West Bengal,2011,Magh,2213,4038,3994,989,969.0,88.3,91.6,85.1,37.2,87.8,12.2,8032
West Bengal,2011,Mahali,19305,40740,40854,1003,995.0,55.0,66.3,43.6,46.0,63.5,36.5,81594
West Bengal,2011,Mahli,1143,1329,1280,963,942.0,50.7,59.8,41.3,45.2,53.9,46.1,2609
West Bengal,2011,Mal Pahariya,11632,22364,22174,992,972.0,42.8,49.0,36.5,45.8,74.1,25.9,44538
West Bengal,2011,Mech,9690,20851,20391,978,896.0,74.2,80.8,67.6,41.3,67.5,32.5,41242
West Bengal,2011,Mru,69,95,102,1074,1727.0,61.7,70.2,53.0,36.5,62.5,37.5,197
West Bengal,2011,Munda,91107,184098,182288,990,976.0,57.7,67.1,48.3,45.7,62.8,37.2,366386
West Bengal,2011,Nagesia,8038,8241,8137,987,920.0,61.8,70.1,53.5,38.5,72.8,27.2,16378
West Bengal,2011,Oraon,140875,322933,320577,993,970.0,59.0,68.1,49.9,43.2,69.2,30.8,643510
West Bengal,2011,Parhaiya,258,451,470,1042,1222.0,38.2,42.3,34.1,47.8,70.2,29.8,921
West Bengal,2011,Rabha,12646,14255,13565,952,937.0,61.3,68.4,53.8,45.1,65.7,34.3,27820
West Bengal,2011,Santal,562526,1248370,1263961,1012,979.0,54.7,66.1,43.5,50.5,53.5,46.5,2512331
West Bengal,2011,Sauria Paharia,930,1715,1765,1029,1090.0,44.0,49.2,38.9,40.2,78.1,21.9,3480
West Bengal,2011,Savar,10028,20064,20310,1012,1014.0,40.6,49.9,31.5,50.0,45.6,54.4,40374
West Bengal,2011,Tamang,36029,72594,73609,1014,964.0,80.4,87.7,73.3,37.0,72.5,27.5,146203
