state,year,tribe_name,households,male_population,female_population,sex_ratio,child_sex_ratio,literacy_total_pct,literacy_male_pct,literacy_female_pct,wpr_pct,main_worker_pct,marginal_worker_pct,tribe_population
Tamil Nadu,2011,Kota (excluding Kan- yakumari district and Shenkottah taluk of Tirunelveli district)c,102,155,153,987,1133.0,88.0,96.4,79.4,38.0,92.3,7.7,308
Tamil Nadu,2011,Kudiya Melakudi,26,36,30,833,2333.0,76.8,84.8,65.2,45.5,93.3,6.7,66
Tamil Nadu,2011,Kurichchan,1576,3181,2919,918,948.0,69.6,79.0,59.4,52.8,88.2,11.8,6100
Tamil Nadu,2011,Kurumans,8299,15949,15016,942,879.0,68.2,76.2,59.8,50.9,85.2,14.8,30965
Tamil Nadu,2011,Kurumbas (in the Nilgiris district)b,1875,3380,3443,1019,821.0,61.5,67.9,55.4,50.3,82.4,17.6,6823
Tamil Nadu,2011,Maha Malasar,21,43,34,791,400.0,85.7,96.4,75.0,31.2,100.0,0.0,77
Tamil Nadu,2011,Malai Arayan,55,75,97,1293,333.0,89.7,93.7,87.1,39.5,86.8,13.2,172
Tamil Nadu,2011,Malai Pandaram,439,710,729,1027,935.0,71.8,78.5,65.5,43.6,81.5,18.5,1439
Tamil Nadu,2011,Malai Vedan,1946,3701,3514,949,993.0,76.9,85.9,67.3,51.9,85.9,14.1,7215
Tamil Nadu,2011,Malakkuravan,4788,10013,9632,962,909.0,61.3,69.4,52.9,45.1,79.8,20.2,19645
Tamil Nadu,2011,Malasar,1911,3259,3172,973,890.0,40.9,44.7,37.1,58.9,88.4,11.6,6431
Tamil Nadu,2011,Malayali (in Dhar- mapuri North Arcot Pudukottai Salem South Arcot and Tiruchirapalli districts)d,89225,181704,176276,970,888.0,51.3,60.0,42.5,58.4,86.8,13.2,357980
Tamil Nadu,2011,Malayekandi,185,107,103,963,733.0,56.0,68.5,43.5,47.1,89.9,10.1,210
Tamil Nadu,2011,Mannan,67,99,112,1131,750.0,88.4,95.4,82.5,39.3,88.0,12.0,211
Tamil Nadu,2011,Mudugar Muduvan,387,661,589,891,944.0,58.2,70.0,44.8,58.2,82.8,17.2,1250
Tamil Nadu,2011,Muthuvan,124,200,190,950,1667.0,37.7,49.7,24.6,64.1,97.6,2.4,390
Tamil Nadu,2011,Palleyan,101,114,117,1026,1154.0,57.1,63.4,51.0,47.2,91.7,8.3,231
Tamil Nadu,2011,Palliyan,809,1146,1106,965,925.0,50.5,54.5,46.5,55.6,83.4,16.6,2252
Tamil Nadu,2011,Palliyar,1517,2643,2645,1001,840.0,44.3,46.8,42.0,54.7,87.9,12.1,5288
Tamil Nadu,2011,Paniyan,2490,4898,5236,1069,960.0,48.3,53.2,43.7,52.6,82.2,17.8,10134
Tamil Nadu,2011,Sholaga,1519,3066,2899,946,802.0,42.8,49.7,35.7,56.5,65.2,34.8,5965
Tamil Nadu,2011,Toda (excluding Kan- yakumari district and Shenkottah taluk of Tirunelveli district),538,957,1045,1092,1402.0,84.2,88.6,80.0,46.5,92.2,7.8,2002
Tamil Nadu,2011,Uraly,3504,6491,6495,1001,959.0,45.1,52.4,37.8,63.4,77.3,22.7,12986
Dadra and Nagar Haveli and Daman and Diu,2011,All Schedule Tribes,36782,96615,97312,1987,1902.0,,,,85.3,,39.7,193927
Dadra and Nagar Haveli and Daman and Diu,2011,Dhodia,5702,13225,13377,1943,1702.0,,,,87.0,,39.2,26602
Dadra and Nagar Haveli and Daman and Diu,2011,Dubla (Halpati),2367,5528,5559,1006,978.0,78.2,85.7,70.8,42.3,90.1,9.9,11087
Dadra and Nagar Haveli and Daman and Diu,2011,Dubla including Halpati,602,1341,1362,1016,818.0,76.5,84.4,68.9,41.7,88.4,11.6,2703
Dadra and Nagar Haveli and Daman and Diu,2011,Kathodi,34,69,73,1058,1200.0,34.2,47.5,21.3,60.6,39.5,60.5,142
Dadra and Nagar Haveli and Daman and Diu,2011,Kokna,5345,13954,13850,993,966.0,65.4,78.1,52.6,41.9,70.7,29.3,27804
Dadra and Nagar Haveli and Daman and Diu,2011,Koli Dhor including Kolgha,531,1367,1399,1023,1045.0,46.6,56.8,36.5,41.7,67.0,33.0,2766
Dadra and Nagar Haveli and Daman and Diu,2011,Naikda (Talavia),1,1,0,0,,100.0,100.0,,100.0,100.0,0.0,1
Dadra and Nagar Haveli and Daman and Diu,2011,Naikda or Nayaka,82,179,153,855,660.0,32.7,34.1,31.1,55.4,17.4,82.6,332
Dadra and Nagar Haveli and Daman and Diu,2011,Siddi (Nayaka),40,109,84,771,353.0,89.4,96.7,80.8,34.2,97.0,3.0,193
Dadra and Nagar Haveli and Daman and Diu,2011,Varli,20287,56345,57106,2000,1989.0,,,,88.5,,34.0,113451
Tripura,2011,All Schedule Tribes,272815,588327,578486,983,957.0,79.1,86.4,71.6,43.8,64.5,35.5,1166813
Tripura,2011,Bhil,918,1609,1496,930,932.0,87.3,91.0,83.3,42.1,66.9,33.1,3105
Tripura,2011,Bhutia,14,19,9,474,500.0,100.0,100.0,100.0,42.9,100.0,0.0,28
Tripura,2011,Chaimal,441,280,269,961,800.0,76.9,84.0,69.8,38.6,62.7,37.3,549
Tripura,2011,Chakma,18014,40552,39261,968,964.0,74.8,84.0,65.4,41.9,61.5,38.5,79813
Tripura,2011,Garoo,3344,6409,6543,1021,951.0,88.1,92.3,84.0,41.5,65.1,34.9,12952
Tripura,2011,Halam Bengshel Dub Kaipeng Kalai Kar- bong Lengui Mussum Ru- pini Sukuchep Thangchep,12910,28707,28503,993,942.0,86.9,92.3,81.5,44.4,68.8,31.2,57210
Tripura,2011,Jamatia,19652,41450,41897,1011,919.0,86.0,92.3,79.9,48.0,66.6,33.4,83347
Tripura,2011,Khasia,110,173,193,1116,1083.0,72.9,76.6,69.5,37.7,79.7,20.3,366
Tripura,2011,Kuki includ- ing the follow- ing sub-tribes,2772,5424,5541,1022,962.0,89.1,92.5,85.7,41.4,75.0,25.0,10965
