state,year,additional_information,total_population,state_share_india_population_pct,st_population,state_share_india_st_population_pct,st_share_state_population_pct,decadal_growth_pct
Himachal Pradesh,1991,,5170877.0,12.94,218349.0,60.32,5.71,0.38
Jammu and Kashmir,1991,,,23.64,,35.02,11.91,1.43
Jharkhand,1991,Jharkhand is created in the year 2000 after reorganization of the state Bihar,,22.42,,21.98,26.21,8.29
Karnataka,1991,,44977201.0,15.6,1915691.0,22.66,6.95,4.07
Kerala,1991,,29098518.0,4.91,320967.0,33.13,1.45,0.46
Lakshadweep,1991,,51707.0,6.3,48163.0,6.63,94.8,0.06
Madhya Pradesh,1991,,66181170.0,20.35,15399034.0,25.2,21.09,14.69
Maharashtra,1991,,78937187.0,15.99,7318281.0,22.54,9.35,10.08
Manipur,1991,,1837149.0,18.63,632173.0,21.8,35.12,0.87
Meghalaya,1991,,1774778.0,27.95,1517927.0,28.25,86.15,2.45
Mizoram,1991,,689756.0,23.48,653565.0,23.45,94.43,0.99
Nagaland,1991,,1209546.0,-0.58,1060822.0,3.55,86.48,1.64
Odisha,1991,,31659736.0,14.05,7032214.0,17.75,22.85,9.2
Puducherry,1991,,807785.0,28.08,,,,
Punjab,1991,,20281969.0,13.89,,,0.0,0.0
Rajasthan,1991,,44005990.0,21.31,5474881.0,30.16,13.48,8.86
Sikkim,1991,,406457.0,12.89,90901.0,85.23,33.8,0.2
Tamil Nadu,1991,,55858946.0,15.61,574194.0,22.01,1.1,0.76
Dadra and Nagar Haveli and Daman and Diu,1991,,240063.0,109.64,121104.0,39.88,58.27,0.18
Tripura,1991,,2757205.0,14.84,853345.0,17.45,31.76,1.12
Uttar Pradesh,1991,,139112287.0,20.23,287901.0,950.61,0.57,1.09
Uttarakhand,1991,Uttarakhand is created in the year 2000 after reorganization of the state Uttar Pradesh,,18.81,,13.97,2.89,0.28
West Bengal,1991,,68077965.0,13.84,3808760.0,20.2,5.8,5.08
