state,ger_latest_year,ger_latest_primary_boys,ger_latest_primary_girls,ger_latest_primary_total,ger_latest_upper_primary_boys,ger_latest_upper_primary_girls,ger_latest_upper_primary_total,ger_latest_elementary_boys,ger_latest_elementary_girls,ger_latest_elementary_total,ger_latest_secondary_boys,ger_latest_secondary_girls,ger_latest_secondary_total,ger_latest_higher_secondary_boys,ger_latest_higher_secondary_girls,ger_latest_higher_secondary_total,ger_latest_primary_gpi,ger_latest_upper_primary_gpi,ger_latest_elementary_gpi,ger_latest_secondary_gpi,ger_latest_higher_secondary_gpi,ger_latest_ix_xii_avg_boys,ger_latest_ix_xii_avg_girls,ger_latest_ix_xii_avg_total,ger_latest_ix_xii_avg_gpi,ger_latest_ix_xii_avg
Meghalaya,2023,182.1,185.7,183.9,106.8,127.7,117.1,152.0,162.2,157.0,73.0,98.0,85.4,31.9,47.4,39.6,1.0197693574958813,1.195692883895131,1.0671052631578946,1.3424657534246576,1.4858934169278997,52.45,72.7,62.5,1.3860819828408006,62.5
Mizoram,2023,154.4,155.5,154.9,113.4,117.7,115.5,137.9,140.2,139.0,94.9,105.8,100.2,50.8,58.6,54.7,1.0071243523316062,1.0379188712522045,1.0166787527193617,1.1148577449947312,1.1535433070866143,72.85,82.2,77.45,1.1283459162663008,77.45
Nagaland,2023,85.7,89.5,87.5,66.4,72.9,69.5,77.6,82.6,80.0,54.8,64.1,59.3,36.6,43.4,40.0,1.044340723453909,1.0978915662650601,1.0644329896907216,1.1697080291970803,1.185792349726776,45.7,53.75,49.65,1.176148796498906,49.65
Odisha,2023,93.6,92.1,92.8,107.6,107.4,107.5,98.5,97.4,98.0,84.6,89.6,87.1,52.0,58.7,55.3,0.9839743589743589,0.9981412639405206,0.9888324873096447,1.0591016548463357,1.1288461538461538,68.3,74.15,71.19999999999999,1.0856515373352857,71.19999999999999
Puducherry,2023,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,2023,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,2023,97.8,98.1,97.9,98.3,97.1,97.7,98.0,97.7,97.9,80.3,79.4,79.8,59.1,57.8,58.5,1.0030674846625767,0.987792472024415,0.9969387755102042,0.9887920298879204,0.9780033840947546,69.7,68.6,69.15,0.9842180774748923,69.15
Sikkim,2023,101.3,92.7,97.1,76.6,79.1,77.8,90.5,86.7,88.6,72.9,78.8,75.8,56.1,68.1,62.1,0.9151036525172754,1.0326370757180157,0.958011049723757,1.0809327846364882,1.213903743315508,64.5,73.44999999999999,68.95,1.1387596899224803,68.95
Tamil Nadu,2023,110.7,112.6,111.6,116.2,115.4,115.8,112.7,113.6,113.1,97.3,103.3,100.1,69.2,85.6,77.0,1.017163504968383,0.9931153184165232,1.007985803016859,1.0616649537512848,1.2369942196531791,83.25,94.44999999999999,88.55,1.1345345345345343,88.55
Telangana,2023,97.8,96.6,97.2,98.1,97.9,98.0,97.9,97.1,97.5,82.6,85.0,83.8,70.7,79.3,74.8,0.9877300613496932,0.99796126401631,0.9918283963227782,1.0290556900726393,1.1216407355021216,76.65,82.15,79.3,1.0717547292889757,79.3
Tripura,2023,119.5,123.3,121.3,91.9,95.4,93.6,107.9,111.5,109.6,69.0,76.5,72.6,47.7,56.7,52.0,1.0317991631799164,1.0380848748639826,1.0333642261353104,1.108695652173913,1.1886792452830188,58.35,66.6,62.3,1.141388174807198,62.3
Uttar Pradesh,2023,128.6,125.3,127.0,134.9,134.5,134.7,130.7,128.4,129.6,136.5,134.8,135.7,134.5,131.6,133.1,0.9743390357698289,0.9970348406226834,0.9824024483550116,0.9875457875457876,0.9784386617100371,135.5,133.2,134.39999999999998,0.9830258302583025,134.39999999999998
Uttarakhand,2023,87.5,92.9,90.0,77.2,79.9,78.5,83.2,87.5,85.2,73.4,75.3,74.3,60.1,64.5,62.2,1.0617142857142858,1.0349740932642488,1.0516826923076923,1.0258855585831061,1.0732113144758735,66.75,69.9,68.25,1.047191011235955,68.25
West Bengal,2023,109.0,110.1,109.6,104.7,106.8,105.8,107.4,108.9,108.1,100.1,108.1,104.0,49.8,63.8,56.7,1.010091743119266,1.0200573065902578,1.0139664804469273,1.0799200799200799,1.2811244979919678,74.94999999999999,85.94999999999999,80.35,1.1467645096731154,80.35
