state,year,gender,gender_key,class_group,class_group_key,ger_ratio
Assam,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,51.2
Assam,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,86.7
Assam,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,15.5
Assam,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,33.1
Assam,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,73.5
Bihar,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,145.4
Bihar,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,40.7
Bihar,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,124.4
Bihar,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,33.3
Bihar,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,37.2
Bihar,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,110.5
Bihar,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,108.4
Bihar,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,26.5
Bihar,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,92.3
Bihar,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,19.3
Bihar,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,23.1
Bihar,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,81.2
Bihar,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,127.7
Bihar,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,33.9
Bihar,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,109.0
Bihar,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,26.6
Bihar,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,30.5
Bihar,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,96.5
Chandigarh,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,
Chandigarh,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,
Chandigarh,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,
Chandigarh,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,
Chandigarh,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,
Chandigarh,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,
Chandigarh,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,
Chandigarh,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,
Chandigarh,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,
Chandigarh,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,
Chandigarh,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,
Chandigarh,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,
Chandigarh,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,
Chandigarh,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,
Chandigarh,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,
Chandigarh,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,
Chandigarh,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,
Chandigarh,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,
Chhattisgarh,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,104.8
Chhattisgarh,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,58.0
Chhattisgarh,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,95.6
Chhattisgarh,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,32.6
Chhattisgarh,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,45.9
Chhattisgarh,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,85.9
Chhattisgarh,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,98.4
Chhattisgarh,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,55.2
Chhattisgarh,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,90.0
Chhattisgarh,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,24.7
Chhattisgarh,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,40.3
Chhattisgarh,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,79.7
Chhattisgarh,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,101.6
Chhattisgarh,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,56.7
Chhattisgarh,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,92.8
Chhattisgarh,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,28.6
Chhattisgarh,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,43.1
Chhattisgarh,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,82.9
Delhi,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,
Delhi,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,
Delhi,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,
Delhi,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,
Delhi,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,
Delhi,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,
Delhi,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,
