state,year,gender,gender_key,employment_indicator,employment_indicator_key,employment_indicator_value_per_1000
Sikkim,2013,Female,female,Labour force participation rate (LFPR),lfpr,377.0
Sikkim,2013,Female,female,Proportion Unemployed (PU),pu,5.0
Sikkim,2013,Female,female,Worker population ratio (WPR),wpr,372.0
Tamil Nadu,2013,Female,female,Labour force participation rate (LFPR),lfpr,306.0
Tamil Nadu,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Tamil Nadu,2013,Female,female,Worker population ratio (WPR),wpr,306.0
Tripura,2013,Female,female,Labour force participation rate (LFPR),lfpr,211.0
Tripura,2013,Female,female,Proportion Unemployed (PU),pu,39.0
Tripura,2013,Female,female,Worker population ratio (WPR),wpr,172.0
Uttar Pradesh,2013,Female,female,Labour force participation rate (LFPR),lfpr,247.0
Uttar Pradesh,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Uttar Pradesh,2013,Female,female,Worker population ratio (WPR),wpr,247.0
Uttarakhand,2013,Female,female,Labour force participation rate (LFPR),lfpr,470.0
Uttarakhand,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Uttarakhand,2013,Female,female,Worker population ratio (WPR),wpr,470.0
West Bengal,2013,Female,female,Labour force participation rate (LFPR),lfpr,196.0
West Bengal,2013,Female,female,Proportion Unemployed (PU),pu,10.0
West Bengal,2013,Female,female,Worker population ratio (WPR),wpr,185.0
Andaman and Nicobar Islands,2013,Male,male,Labour force participation rate (LFPR),lfpr,610.0
Andaman and Nicobar Islands,2013,Male,male,Proportion Unemployed (PU),pu,12.0
Andaman and Nicobar Islands,2013,Male,male,Worker population ratio (WPR),wpr,599.0
Andhra Pradesh,2013,Male,male,Labour force participation rate (LFPR),lfpr,587.0
Andhra Pradesh,2013,Male,male,Proportion Unemployed (PU),pu,1.0
Andhra Pradesh,2013,Male,male,Worker population ratio (WPR),wpr,585.0
Arunachal Pradesh,2013,Male,male,Labour force participation rate (LFPR),lfpr,480.0
Arunachal Pradesh,2013,Male,male,Proportion Unemployed (PU),pu,11.0
Arunachal Pradesh,2013,Male,male,Worker population ratio (WPR),wpr,469.0
Assam,2013,Male,male,Labour force participation rate (LFPR),lfpr,587.0
