sample,education_variable,outcome_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
all_states,Primary female enrolment share,MGNREG average days worked,30,0.2081,0.2697,0.2217,0.2391,0.2081
all_states,Primary female enrolment share,Unemployment,29,0.2037,0.2892,0.3327,0.0778,0.2037
all_states,Literacy gap,Female LFPR,27,0.2026,0.3107,0.2278,0.253,0.2026
all_states,Female literacy gap,Female WPR,28,0.2022,0.3022,0.2307,0.2375,0.2022
all_states,Female ST literacy,Female LFPR,28,-0.1996,0.3084,-0.2521,0.1956,0.1996
all_states,Upper-primary female enrolment share,Female unemployment,29,0.1982,0.3028,0.4182,0.024,0.1982
all_states,Secondary dropout,MGNREG job-card households,33,0.1955,0.2755,0.1714,0.3401,0.1955
all_states,Upper-primary female enrolment share,MGNREG job-card households,30,0.1882,0.3194,0.328,0.0768,0.1882
all_states,Primary dropout,Rural ST BPL,17,0.1854,0.4762,0.2232,0.3892,0.1854
all_states,GER classes IX-XII,LFPR,26,0.1805,0.3775,0.1793,0.3809,0.1805
all_states,Upper-primary female enrolment share,MGNREG average days worked,30,0.1795,0.3426,0.17,0.3692,0.1795
all_states,Secondary dropout,Unemployment,30,-0.1747,0.3559,-0.2464,0.1893,0.1747
all_states,GER classes I-VIII,Urban ST BPL,17,-0.1728,0.5071,-0.2426,0.348,0.1728
all_states,GER classes IX-XII,WPR,26,0.1682,0.4115,0.1737,0.396,0.1682
all_states,GER classes IX-XII,MGNREG unmet demand,27,-0.1677,0.4032,-0.2107,0.2916,0.1677
all_states,Primary female enrolment share,Female LFPR,29,0.1666,0.3876,-0.0719,0.7108,0.1666
all_states,Primary female enrolment share,Female unemployment,29,0.1665,0.388,0.2855,0.1333,0.1665
all_states,Primary female enrolment share,WPR,29,0.1641,0.3949,-0.0182,0.9252,0.1641
all_states,Female literacy gap,Mean ST BPL,18,0.1635,0.5169,0.1827,0.4682,0.1635
all_states,GER classes I-VIII,Unemployment,26,-0.1612,0.4315,-0.0237,0.9087,0.1612
all_states,Literacy gap,Mean ST BPL,17,0.1475,0.5721,0.1804,0.4885,0.1475
all_states,Female literacy gap,Female LFPR,28,0.1454,0.4605,0.196,0.3175,0.1454
all_states,GER classes IX-XII,Female LFPR,26,0.1403,0.4941,0.155,0.4498,0.1403
all_states,Primary female enrolment share,Female WPR,29,0.1403,0.4679,-0.1067,0.5818,0.1403
all_states,Literacy gap,MGNREG job-card households,27,-0.1383,0.4914,-0.0885,0.6608,0.1383
all_states,Upper-primary dropout,Female unemployment,30,-0.1383,0.4662,-0.0133,0.9444,0.1383
all_states,Primary dropout,MGNREG unmet demand,33,-0.1376,0.4452,-0.061,0.7361,0.1376
all_states,Female literacy gap,LFPR,28,0.1328,0.5004,0.1834,0.3501,0.1328
all_states,Primary dropout,Female unemployment,30,-0.1275,0.5019,0.1724,0.3623,0.1275
all_states,GER classes IX-XII,Female WPR,26,0.1239,0.5463,0.1329,0.5176,0.1239
all_states,Upper-primary female enrolment share,Mean ST BPL,18,0.1223,0.6287,0.1269,0.6157,0.1223
all_states,Upper-primary dropout,Unemployment,30,-0.1202,0.5269,-0.1527,0.4205,0.1202
all_states,Primary female enrolment share,Rural ST BPL,18,-0.1164,0.6456,0.063,0.804,0.1164
all_states,Primary female enrolment share,MGNREG job-card households,30,0.1159,0.5419,0.1956,0.3003,0.1159
all_states,ST literacy rate,MGNREG job-card households,27,0.1142,0.5707,0.1051,0.602,0.1142
all_states,ST literacy rate,Mean ST BPL,17,-0.1018,0.6976,0.0429,0.8701,0.1018
all_states,Primary female enrolment share,Mean ST BPL,18,0.1017,0.688,0.2817,0.2574,0.1017
all_states,Female literacy gap,MGNREG job-card households,29,-0.1011,0.6017,-0.1451,0.4527,0.1011
all_states,Female ST literacy,Urban ST BPL,18,-0.0992,0.6953,0.0939,0.7109,0.0992
all_states,GER classes I-VIII,Mean ST BPL,17,-0.096,0.714,-0.1176,0.6529,0.096
all_states,GER classes I-VIII,MGNREG job-card households,27,0.0905,0.6535,0.0782,0.6984,0.0905
all_states,Female ST literacy,MGNREG job-card households,29,0.0886,0.6475,0.085,0.6612,0.0886
all_states,Primary dropout,LFPR,30,-0.0857,0.6524,-0.0161,0.9326,0.0857
all_states,Upper-primary female enrolment share,Rural ST BPL,18,-0.0851,0.737,-0.0753,0.7664,0.0851
