state,year,total_literacy_rate_pct,st_literacy_rate_pct,literacy_gap_pct,total_population,state_share_india_population_pct,st_population,state_share_india_st_population_pct_x,st_share_state_population_pct_x,decadal_growth_pct,pre_primary_boys,pre_primary_girls,primary_boys,primary_girls,upper_primary_boys,upper_primary_girls,pre_primary_total,primary_total,upper_primary_total,pre_primary_female_share_pct,primary_female_share_pct,upper_primary_female_share_pct,mgnreg_job_card_households_per_1000,mgnreg_work_less_20_days_per_1000,mgnreg_work_20_50_days_per_1000,mgnreg_work_50_100_days_per_1000,mgnreg_work_100_plus_days_per_1000,mgnreg_sought_not_received_per_1000,mgnreg_not_seeking_work_per_1000,mgnreg_all_status_per_1000,mgnreg_average_days_worked,st_share_state_population_pct_y,state_share_india_st_population_pct_y,tribal_villages_gt_25_count,tribal_villages_gt_50_count,tribal_villages_gt_75_count,tribal_villages_gt_90_count,tribal_villages_100_pct_count,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households,ger_classes_i_viii,ger_classes_i_x,ger_classes_i_xii,ger_classes_ix_x,ger_classes_ix_xii,ger_classes_xi_xii,employment_lfpr_female_per_1000,employment_lfpr_male_per_1000,employment_lfpr_person_per_1000,employment_pu_female_per_1000,employment_pu_male_per_1000,employment_pu_person_per_1000,employment_wpr_female_per_1000,employment_wpr_male_per_1000,employment_wpr_person_per_1000,st_bpl_rural_pct,st_bpl_urban_pct,st_bpl_mean_pct,st_population_rural,st_population_urban,low_literacy_district_count,low_literacy_female_min_pct,low_literacy_female_mean_pct,dropout_primary_pct,dropout_upper_primary_pct,dropout_secondary_pct
Sikkim,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,16.9,31.8,0.3,5.3,4.9,1103.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,12.1,43.9,0.9,8.6,3.5,1130.0,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,12.7,44.5,0.0,8.7,1.8,1163.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,13.9,54.2,0.5,5.5,0.4,1196.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,16.2,45.0,0.1,12.9,1.6,,448.0,,,,,,,,,,,,,,,,,,,,,,,,1.58,0.0,11.5
Sikkim,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,20.9,48.8,0.0,11.4,0.7,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,1991,62.7,27.9,34.8,55858946.0,15.61,574194.0,22.01,1.1,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2001,73.5,41.5,31.9,62405679.0,15.61,651321.0,22.01,1.1,0.76,,,,,,,,,,,,,,,,,,,,,,,,391.0,323.0,267.0,210.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,17.6,14.55,,,,,,,,
Tamil Nadu,2010,,,,,,,,,,10781.0,8822.0,59409.0,54523.0,27748.0,25721.0,19603.0,113932.0,53469.0,45.0033158190073,47.855738510690585,48.10450915483738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2011,80.1,54.3,25.8,72147030.0,15.61,794697.0,22.01,1.1,0.76,,,,,,,,,,,,,,,,,,,,,,,,391.0,320.0,282.0,231.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,36.8,2.8,19.799999999999997,660280.0,134417.0,,,,,,
Tamil Nadu,2013,,,,,,,,,,,,,,,,,,,,,,293.0,91.0,79.0,116.0,0.0,11.0,703.0,1000.0,41.0,,,,,,,,,,,,,,,,151.1,139.3,126.6,83.5,66.3,47.3,306.0,676.0,501.0,0.0,4.0,2.0,306.0,672.0,499.0,,,,,,,,,,,
Tamil Nadu,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,13.7,21.1,17.2,19.1,13.0,97798.0,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,11.9,22.0,14.1,17.7,14.5,102605.0,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,13.6,20.4,15.6,18.0,11.1,105196.0,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,14.7,20.0,15.2,20.7,10.5,106702.0,3128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,13.2,20.8,15.3,20.1,10.3,107750.0,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,15.8,23.4,12.1,21.8,9.9,,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,13.0,27.1,12.8,19.7,9.9,,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamilnadu,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.52,9.44
Telangana,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,21.2,30.700000000000003,,,,,,,,
Telangana,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,12.1,18.1,,,3.0,30.4,32.23333333333333,,,
Telangana,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,11.3,10.6,16.9,8.0,14.5,53982.0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,13.7,10.5,18.3,6.2,13.6,52047.0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,12.8,9.1,24.9,4.0,10.0,55248.0,1272.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,16.2,11.4,10.4,6.9,9.9,54443.0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,17.6,9.8,9.4,4.1,9.5,55967.0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6,16.1,11.0,9.0,4.9,13.3,,1280.0,,,,,,,,,,,,,,,,,,,,,,,,0.51,4.57,13.01
Telangana,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,17.5,13.1,12.2,5.0,13.2,,1272.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,1991,60.4,40.4,20.0,2757205.0,14.84,853345.0,17.45,31.76,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2001,73.2,56.5,16.7,3199203.0,14.84,993426.0,17.45,31.76,1.12,,,,,,,,,,,,,,,,,,,,,,,,549.0,451.0,377.0,302.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2010,,,,,,,,,,1030.0,877.0,86356.0,81761.0,39303.0,34925.0,1907.0,168117.0,74228.0,45.9884635553225,48.63339222089378,47.05097806757558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2011,87.2,79.1,8.2,3673917.0,14.84,1166813.0,17.45,31.76,1.12,,,,,,,,,,,,,,,,,,,,,,31.76,1.12,564.0,466.0,385.0,301.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1117566.0,49247.0,,,,,,
Tripura,2013,,,,,,,,,,,,,,,,,,,,,,884.0,9.0,227.0,640.0,0.0,39.0,80.0,1000.0,66.0,,,,,,,,,,,,,,,,125.3,114.4,99.1,72.6,47.3,20.2,211.0,582.0,409.0,39.0,37.0,38.0,172.0,545.0,372.0,,,,,,,,,,,
Tripura,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,26.7,18.1,4.4,16.0,9.0,6284.0,1216.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,31.3,17.4,6.9,12.7,7.3,6918.0,1215.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,21.1,12.4,9.0,17.1,6.5,6794.0,1208.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,25.6,11.8,8.1,19.8,5.4,6555.0,1216.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,27.0,11.4,7.3,19.4,6.0,6535.0,1216.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,25.0,17.9,3.8,18.6,7.8,,1216.0,,,,,,,,,,,,,,,,,,,,,,,,1.99,7.49,9.21
Tripura,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,22.3,12.4,4.5,22.1,5.3,,1216.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,1991,40.7,20.0,20.7,139112287.0,20.23,287901.0,950.61,0.57,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2001,56.3,35.1,21.1,166197921.0,20.23,107963.0,950.61,0.57,1.09,,,,,,,,,,,,,,,,,,,,,,,,93.0,74.0,63.0,49.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,20.2,35.0,,,,,,,,
Uttar Pradesh,2010,,,,,,,,,,0.0,0.0,79876.0,74630.0,26719.0,21696.0,0.0,154506.0,48415.0,,48.3023313010498,44.81255809150057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2011,67.7,55.7,12.0,199812341.0,20.23,1134273.0,950.61,0.57,1.09,,,,,,,,,,,,,,,,,,,,,,,,623.0,340.0,197.0,124.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,16.3,21.65,1031076.0,103197.0,16.0,0.0,24.15625,,,
Uttar Pradesh,2013,,,,,,,,,,,,,,,,,,,,,,140.0,13.0,84.0,42.0,0.0,304.0,556.0,1000.0,37.0,,,,,,,,,,,,,,,,831.5,793.5,735.0,618.9,509.0,395.0,247.0,583.0,414.0,0.0,0.0,0.0,247.0,583.0,414.0,,,,,,,,,,,
Uttar Pradesh,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,13.5,7.3,6.8,14.7,10.4,284395.0,5824.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,12.7,7.3,5.9,14.3,10.9,279553.0,5822.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,13.6,7.9,5.4,15.4,8.1,286864.0,5823.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,13.8,7.2,4.8,13.4,7.2,295354.0,5806.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,16.3,7.2,4.8,15.7,6.1,294671.0,5824.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,17.1,10.5,2.9,17.4,5.5,,5824.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.33
Uttar Pradesh,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,17.9,8.4,2.9,16.8,5.5,,5824.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,1991,57.8,41.2,16.6,,18.81,,13.97,2.89,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2001,71.6,63.2,8.4,8489349.0,18.81,256129.0,13.97,2.89,0.28,,,,,,,,,,,,,,,,,,,,,,,,650.0,461.0,234.0,102.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,10.0,,,,,,,,
Uttarakhand,2010,,,,,,,,,,0.0,0.0,26183.0,23128.0,11203.0,11129.0,0.0,49311.0,22332.0,,46.90231388533999,49.834318466774135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2011,78.8,73.9,4.9,10086292.0,18.81,291903.0,13.97,2.89,0.28,,,,,,,,,,,,,,,,,,,,,,,,640.0,419.0,174.0,85.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,11.9,25.7,18.8,264819.0,27084.0,,,,,,
Uttarakhand,2013,,,,,,,,,,,,,,,,,,,,,,471.0,239.0,129.0,5.0,0.0,259.0,329.0,1000.0,19.0,,,,,,,,,,,,,,,,140.4,132.9,122.1,102.8,86.0,69.5,470.0,505.0,486.0,0.0,0.0,0.0,470.0,505.0,486.0,,,,,,,,,,,
Uttarakhand,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,16.4,20.3,2.5,5.9,14.3,14671.0,958.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,21.2,19.6,3.4,9.0,13.7,15220.0,959.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,16.0,18.0,2.3,7.5,9.4,15982.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,21.5,14.8,2.0,9.7,12.9,16011.0,949.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,20.0,24.4,1.3,9.0,8.4,15306.0,958.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,19.9,23.6,3.2,8.4,10.5,,960.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.46,6.36
Uttarakhand,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,20.1,26.3,3.1,9.3,9.9,,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,1991,57.7,27.8,29.9,68077965.0,13.84,3808760.0,20.2,5.8,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2001,68.6,43.4,25.2,80176197.0,13.84,4406794.0,20.2,5.8,5.08,,,,,,,,,,,,,,,,,,,,,,,,7256.0,3900.0,2302.0,1601.0,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,20.6,26.75,,,,,,,,
West Bengal,2010,,,,,,,,,,0.0,0.0,309164.0,299240.0,165412.0,166229.0,0.0,608404.0,331641.0,,49.18442350806372,50.12317536130937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2011,76.3,57.9,18.3,91276115.0,13.84,5296953.0,20.2,5.8,5.08,,,,,,,,,,,,,,,,,,,,,,,,7454.0,3977.0,2357.0,1629.0,711.0,,,,,,,,,,,,,,,,,,,,,,,,50.1,44.5,47.3,4855115.0,441838.0,,,,,,
West Bengal,2013,,,,,,,,,,,,,,,,,,,,,,758.0,395.0,222.0,36.0,0.0,193.0,149.0,1000.0,22.0,,,,,,,,,,,,,,,,118.2,106.7,94.2,61.4,46.2,30.1,196.0,621.0,410.0,10.0,12.0,11.0,185.0,609.0,399.0,,,,,,,,,,,
West Bengal,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,20.5,12.0,18.6,14.5,9.6,151939.0,3392.0,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,19.2,12.7,18.9,16.1,7.8,150877.0,3392.0,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,21.0,14.6,18.9,12.9,8.4,159887.0,3095.0,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,19.6,15.2,17.3,15.3,6.4,159367.0,3120.0,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,21.4,15.3,16.2,15.5,6.8,165457.0,3328.0,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,24.4,14.5,10.8,17.8,7.1,,3392.0,,,,,,,,,,,,,,,,,,,,,,,,10.01,0.0,12.14
West Bengal,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,22.4,17.2,11.2,15.5,6.3,,3392.0,,,,,,,,,,,,,,,,,,,,,,,,,,
